package,time,rtime,ctime,maxrss,maxcpu,maxth,nlines,ntests,nsubtests
acceptance,8,0.023,7.977,191328,228.7,55,9,0,0
acceptance/cluster,0,-1,0,182472,154.4,47,1,0,0
acceptance/compose/gss/psql,0,-1,0,182464,154.4,46,1,0,0
acceptance/localcluster,1,-1,0,187896,160.9,51,2,0,0
acceptance/localcluster/tc,0,-1,0,182684,160.2,47,1,0,0
base,0,-1,0,206156,161.0,77,88,10,33
bench,2,-1,0,303700,129.5,52,5,0,0
bench/cmd/pgbenchsetup,0,-1,0,183072,114.8,47,1,0,0
blobs,0,-1,0,310772,114.6,82,96,9,35
blobs/blobspb,0,-1,0,208344,113.6,80,1,0,0
build,0,-1,0,194256,113.6,48,1,0,0
ccl,0,-1,0,183084,105.6,47,1,0,0
ccl/backupccl,88,84.203,3.796999999999997,1364748,509.7,120,21261,68,112
ccl/baseccl,0.02,0.02,0,249364,13.0,48,4,1,0
ccl/buildccl,0,-1,0,193728,13.0,48,1,0,0
ccl/changefeedccl,106,102.405,3.594999999999999,1679276,149.6,98,7475,51,206
ccl/changefeedccl/cdctest,4,1.026,2.974,878452,153.0,93,179,4,28
ccl/changefeedccl/changefeedbase,0,-1,0,230868,5.4,61,1,0,0
ccl/changefeedccl/kvfeed,3,0.034,2.966,1878808,108.4,113,14,1,4
ccl/changefeedccl/schemafeed,1,0.034,0.966,1234540,143.7,80,21,2,7
ccl/changefeedccl/schemafeed/schematestutils,0,-1,0,232692,6.2,58,1,0,0
ccl/cliccl,3,-1,0,1968172,175.2,116,5,0,0
ccl/cliccl/cliflagsccl,0,-1,0,199336,6.4,47,1,0,0
ccl/cmdccl/enc_utils,0,-1,0,199336,6.4,47,1,0,0
ccl/followerreadsccl,2,0.039,1.961,978884,186.0,79,12,4,0
ccl/gssapiccl,0,-1,0,214332,6.8,55,1,0,0
ccl/importccl,60,54.954,5.045999999999999,1567888,692.0,125,12811,45,246
ccl/logictestccl,10,7.63,2.37,2066576,301.7,116,324,1,18
ccl/partitionccl,104,102.176,1.823999999999998,1464060,414.7,118,16878,8,106
ccl/serverccl,6,2.975,3.025,2026060,299.2,116,823,2,20
ccl/storageccl,7,3.745,3.255,1619320,308.1,122,1051,10,119
ccl/storageccl/engineccl,1,0.067,0.933,905828,12.8,82,353,8,14
ccl/storageccl/engineccl/enginepbccl,0,-1,0,694764,12.8,82,1,0,0
ccl/utilccl,0.018,0.018,0,220100,13.1,58,10,4,0
ccl/utilccl/licenseccl,0.019,0.019,0,218152,12.2,79,9,3,0
ccl/utilccl/sampledataccl,4,2.167,1.8330000000000002,1472796,261.0,98,355,1,12
ccl/workloadccl,5,0.401,4.599,1563248,155.2,93,117,3,0
ccl/workloadccl/allccl,25,21.847,3.1529999999999987,1849636,534.7,96,2774,4,66
ccl/workloadccl/cliccl,0,-1,0,199692,5.1,47,1,0,0
ccl/workloadccl/format,0,-1,0,199692,5.2,47,1,0,0
ccl/workloadccl/roachmartccl,0,-1,0,199724,5.2,47,1,0,0
cli,159,157.547,1.453000000000003,1650572,461.4,136,3695,81,213
cli/cliflags,3,-1,0,252228,40.1,47,3,0,0
cli/syncbench,0,-1,0,252248,40.1,48,1,0,0
