package,time,rtime,ctime,maxrss,maxcpu,maxth,nlines,ntests,nsubtests
acceptance,8,0.052,7.948,181424,233.0,44,9,0,0
acceptance/cluster,0,-1,0,293240,171.0,45,1,0,0
acceptance/compose/gss/psql,0,-1,0,181432,171.0,44,1,0,0
acceptance/localcluster,0,-1,0,236484,169.9,76,2,0,0
acceptance/localcluster/tc,0,-1,0,181652,168.0,44,1,0,0
base,0,-1,0,292880,161.6,75,88,10,33
bench,3,-1,0,243028,137.1,69,6,0,0
bench/cmd/pgbenchsetup,0,-1,0,181896,108.4,45,1,0,0
blobs,0,-1,0,291228,110.6,65,95,9,35
blobs/blobspb,0,-1,0,182492,110.6,46,1,0,0
build,0,-1,0,182492,110.6,46,1,0,0
ccl,0,-1,0,182476,96.6,45,1,0,0
ccl/backupccl,91,85.512,5.4879999999999995,1515576,468.1,110,21195,68,112
ccl/baseccl,1,0.026,0.974,401804,13.3,78,5,1,0
ccl/buildccl,0,-1,0,183276,11.8,46,1,0,0
ccl/changefeedccl,106,101.432,4.567999999999998,1592192,166.7,95,7502,51,206
ccl/changefeedccl/cdctest,6,0.547,5.453,1596920,55.0,92,181,4,28
ccl/changefeedccl/changefeedbase,0,-1,0,222624,5.8,55,1,0,0
ccl/changefeedccl/kvfeed,2,0.038,1.962,1605708,107.0,114,14,1,4
ccl/changefeedccl/schemafeed,2,0.04,1.96,1060668,135.3,79,22,2,7
ccl/changefeedccl/schemafeed/schematestutils,0,-1,0,225568,5.9,56,1,0,0
ccl/cliccl,3,-1,0,1812888,174.5,83,5,0,0
ccl/cliccl/cliflagsccl,0,-1,0,197252,6.2,46,1,0,0
ccl/cmdccl/enc_utils,0,-1,0,197252,6.3,46,1,0,0
ccl/followerreadsccl,3,0.043,2.957,1616020,194.8,82,13,4,0
ccl/gssapiccl,0,-1,0,197304,6.5,47,1,0,0
ccl/importccl,60,56.291,3.709000000000003,1678396,670.7,129,12730,45,246
ccl/logictestccl,10,5.363,4.637,1529512,632.8,150,324,1,18
ccl/partitionccl,82,77.342,4.658000000000001,1456148,516.5,126,13900,8,106
ccl/serverccl,7,2.973,4.027,1709220,222.8,101,826,2,20
ccl/storageccl,8,4.823,3.1769999999999996,1599424,270.7,162,1054,10,119
ccl/storageccl/engineccl,0.075,0.075,0,620092,11.0,81,353,8,14
ccl/storageccl/engineccl/enginepbccl,0,-1,0,611096,11.0,79,1,0,0
ccl/utilccl,0.026,0.026,0,309508,10.6,54,10,4,0
ccl/utilccl/licenseccl,0.028,0.028,0,320348,10.5,47,8,3,0
ccl/utilccl/sampledataccl,7,2.238,4.7620000000000005,1454448,155.0,97,360,1,12
ccl/workloadccl,4,0.356,3.644,1629456,110.0,93,115,3,0
ccl/workloadccl/allccl,28,22.584,5.416,1945232,482.3,97,2758,4,66
ccl/workloadccl/cliccl,0,-1,0,198404,4.3,46,1,0,0
ccl/workloadccl/format,0,-1,0,222592,4.3,78,2,0,0
